Students,Test_1,In_01,In_02,In_06,Midterm,Lab_01,Test_2,CP_Step_0.1,CP_Step_0.2,HW_08_Part_2&_3,CP_Final,Final_Exam,Final Score
Student 63,45.45,40,40,60,68,95,75,95,80,100,84.03,113.4,79.64
Student 64,50,0,0,80,85,95,50,95,85,100,102.03,135.8,92.72
Student 65,59.09,20,40,20,67,71.25,81.25,95,80,100,84.03,126,79.78
Student 66,59.09,40,60,80,87,97.5,62.5,90,75,95,84.63,134.4,89.79
Student 67,40.91,20,40,60,97,85,100,100,95,105,97.61,113.4,89.07
Student 68,77.27,20,100,30,87,90,87.5,90,75,100,82.59,124.6,86.34
Student 69,95.45,20,100,60,87,125,100,100,95,0,97.61,133,92.62
Student 70,50,80,20,80,81,100,100,90,75,95,98.49,138.6,92.25
Student 71,59.09,60,60,50,83,95,68.75,95,85,105,104.03,112,87.93
Student 72,72.73,100,80,70,94,85,75,100,95,100,107.29,107.8,95.72
Student 73,63.64,50,90,95,88,97,81.25,105,100,102.5,99.72,79,102.66
Student 74,63.64,0,70,85,92,90,100,100,95,97.5,83,83,87.65
Student 75,18.18,50,50,25,91,92,100,100,95,97.5,72.45,96,85.74
Student 76,45.45,80,90,60,95,100,100,105,100,97.5,99.72,100,100.76
Student 77,59.09,75,100,50,89,90,81.25,100,95,97.5,83,95,89.75
Student 78,72.73,100,100,90,84,105,93.75,100,95,97.5,72.45,72,86.64
Student 79,86.36,80,100,60,90.5,85,68.75,100,95,97.5,78.21,94,89.79
Student 80,27.27,80,85,50,81.5,97,75,100,95,97.5,78.21,61,79.59
Student 81,100,70,100,50,87.5,95,100,100,95,97.5,89.49,98,95.75
Student 82,86.36,50,0,40,90,90,81.25,105,98,97.5,81.8,71,83.58
Student 83,86.36,30,98,40,81,75,100,105,98,102.5,81.8,85,87.14
Student 84,81.82,0,90,65,92,85,93.75,100,95,97.5,89.49,94,93.25
